model,N,L,none,time_none,static,time_static,rel_static
aircraft,1000.0,100.0,7945.808117944094,5.608518,78.98437782279291,9.8008045,100.59974310073169
bayesian_network,1000.0,100.0,414.829670961947,6.347528583,4.368660221122572,12.224529542,94.9558102404568
geometric,1000.0,100.0,0.1491430617242537,0.730935125,0.1589997647264261,0.385768375,0.9380080654890792
gmm_fixed_numclust,1000.0,100.0,7993049569.561842,17.746703166,1169072.2821696969,43.79866875,6837.087570605501
hmm,1000.0,100.0,2117.0763806506784,7.525883917,1280.267005133957,54.091820833,1.6536209807493747
hmm_unrolled,1000.0,100.0,2117.0763806506784,7.69617875,2.3499684814287347,11.104932208,900.8956491891064
hurricane,1000.0,100.0,0.3371003590286535,0.958866917,0.3616343724576491,0.788582708,0.93215796036681
lda_fixed_numtopic,1000.0,100.0,72303.53677307481,51.093982417,1.1709895620387134,293.094886584,61745.6714534612
linear_regression,1000.0,100.0,342484.3746347769,1.4274745,341556.225932171,1.757502084,1.0027174111672912
marsaglia,1000.0,100.0,0.2678677274177599,1.062552917,0.0564158002477196,0.544799375,4.748097629415211
pcfg,1000.0,100.0,0.0077268041528519,1.400670041,0.011551986405363,1.442710917,0.6688723377708213
pedestrian,1000.0,100.0,3085376.7736989586,2.82566,3108399.7303614705,5.854648833,0.9925933088857156
